,ID_number,isbn,num_pages,year_first_published,cover_imgae_url,genres,average_rating,number_ratings,title
18,4920,8804480513,239,1889,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1165515910l/4920.jpg,"['Classics', 'Fiction', 'Humor', 'Travel', 'Humor > Comedy', 'European Literature > British Literature', 'Literature > 19th Century', 'Literature', 'Adventure', 'Audiobook']",3.85,67511,Three Men in a Boat
19,200204,8174363173,416,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340008627l/200204.jpg,['Nonfiction'],3.83,48,Byline
0,157021,0451526791,212,1593,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347738561l/157021.jpg,"['Classics', 'Plays', 'Fiction', 'Drama', 'Academic > School', 'Romance', 'Plays > Theatre', 'Literature', 'Poetry', 'Humor > Comedy']",3.77,164665,The Taming of the Shrew
1,186374,0299213234,302,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328870739l/186374.jpg,[],3.77,26,The Man Who Would Marry Susan Sontag And Other Intimate Literary Portraits of the Bohemian Era
2,291921,0840751508,256,1949,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348256290l/291921.jpg,"['Reference', 'Religion', 'Religion > Theology', 'Religion > Christianity', 'Christianity > New Testament', 'Nonfiction', 'Religion > Church', 'Religion > Scripture', 'Christian', 'Spirituality']",4.31,330,"Gospel Parallels: A Comparison of the Synoptic Gospels, NRSV"
3,174649,0812564790,332,1998,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312062329l/174649.jpg,"['Fantasy', 'Young Adult', 'Fiction', 'Science Fiction Fantasy', 'Fantasy > High Fantasy', 'Historical', 'Feminism', 'Fantasy > Magic', 'Young Adult > Young Adult Fantasy', 'Family']",3.69,671,The One-Armed Queen
4,265136,0415252768,256,1990,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636075685l/265136._SY475_.jpg,[],3.90,31,"When a Baby Dies: The Experience of Late Miscarriage, Stillbirth, and Neonatal Death"
5,288866,0451528956,84,1886,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347751939l/288866.jpg,"['Classics', 'Horror', 'Fiction', 'Science Fiction', 'Mystery', 'Gothic', 'Fantasy', 'Literature', 'Academic > School', 'Literature > 19th Century']",3.83,508182,The Strange Case of Dr. Jekyll and Mr. Hyde
6,139427,0553212621,,1928,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172108964l/139427._SY475_.jpg,"['Classics', 'Fiction', 'Romance', 'Literature', 'Literature > Banned Books', 'Novels', 'Adult Fiction > Erotica', 'Historical > Historical Fiction', 'European Literature > British Literature', 'Literature > 20th Century']",3.51,114815,Lady Chatterley's Lover
7,199764,0028622081,132,1975,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172624424l/199764.jpg,['Language > Writing'],3.17,6,How to Write a Thesis
8,18633,0743244583,6,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355115668l/18633.jpg,"['Music', 'Nonfiction', 'Biography', 'Autobiography > Memoir', 'Biography > Autobiography', 'Biography Memoir', 'History', 'Literature > American', 'Poetry', 'Audiobook']",3.97,54573,Chronicles
9,132998,0141017996,416,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309200750l/132998.jpg,"['Politics', 'Nonfiction', 'Law', 'History', 'Social Issues > Activism', 'History > World History']",3.94,141,Lawless World: The Whistle-Blowing Account of How Bush and Blair Are Taking the Law into Their Own Hands
10,100505,1605061883,608,1828,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434347469l/100505._SX318_.jpg,"['Fantasy', 'Fantasy > Mythology', 'Reference', 'Folklore', 'Fantasy > Fairy Tales', 'Reference > Research', 'Paranormal > Fairies', 'Fairies > Fae', 'Fiction', 'Spirituality']",4.12,778,"The World Guide to Gnomes, Fairies, Elves and Other Little People"
